REGION,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016
4,Idaho,1571010,1584143,1595911,1612011,1633532,1652828,1683140,5973,22957,22366,22705,22430,23001,22792,2567,11885,11902,12301,12546,12348,12496,3406,11072,10464,10404,9884,10653,10296,372,1313,1600,1458,1669,1848,1726,-371,152,-307,4786,8916,6748,17143,1,1465,1293,6244,10585,8596,18869
2,Illinois,12841578,12860012,12870798,12879505,12867544,12839047,12801539,41842,162419,160143,157488,157517,157493,155238,24054,101617,101298,104312,102715,107022,108040,17788,60802,58845,53176,54802,50471,47198,5864,26317,26875,26501,30024,32005,30934,-13461,-67239,-74709,-68697,-96297,-105619,-114144,-7597,-40922,-47834,-42196,-66273,-73614,-83210
2,Indiana,6490528,6516480,6537743,6569102,6595233,6612768,6633053,20958,83463,83073,83364,83532,83662,83267,13865,57897,58632,60721,59872,60852,60909,7093,25566,24441,22643,23660,22810,22358,2255,9263,9599,9519,10725,11258,11052,-2976,-8511,-12698,-247,-6723,-15870,-12135,-721,752,-3099,9272,4002,-4612,-1083
2,Iowa,3050738,3065223,3076310,3091930,3108030,3121997,3134693,9966,37851,38469,38805,39458,39563,39349,6868,28208,28048,29141,28926,28486,28739,3098,9643,10421,9664,10532,11077,10610,1009,4811,4984,5580,6165,6441,6336,-145,237,-4316,617,5,-3689,-3392,864,5048,668,6197,6170,2752,2944
2,Kansas,2858850,2869503,2885262,2892821,2899360,2906721,2907289,9987,40115,39579,39724,39292,38717,38702,5988,25183,24965,25593,25505,25018,25128,3999,14932,14614,14131,13787,13699,13574,1320,4703,6358,5356,5864,6415,5851,511,-9071,-5234,-12072,-13027,-13011,-18595,1831,-4368,1124,-6716,-7163,-6596,-12744
3,Kentucky,4348662,4369354,4384799,4400477,4413057,4424611,4436974,13693,55309,55286,56049,55747,55686,55198,10535,42424,42795,44425,43684,44681,44883,3158,12885,12491,11624,12063,11005,10315,1393,5104,6726,6215,6711,7168,6734,4721,2955,-3858,-2217,-5171,-6917,-3429,6114,8059,2868,3998,1540,251,3305
3,Louisiana,4544996,4575404,4603429,4626402,4647880,4668960,4681666,14576,62303,62265,62531,64213,63995,63570,9178,40758,40744,43787,43576,44002,45030,5398,21545,21521,18744,20637,19993,18540,1818,6641,7278,6513,7175,7660,7223,4142,2206,-1040,-2451,-5726,-7238,-12243,5960,8847,6238,4062,1449,422,-5020
1,Maine,1327730,1328231,1328895,1329076,1330719,1329453,1331479,3441,12626,12802,12868,12703,12602,12542,3099,13031,12750,13407,13353,13656,13842,342,-405,52,-539,-650,-1054,-1300,256,1245,1305,1565,1736,1823,1785,-1245,33,-586,-1269,674,-1738,2169,-989,1278,719,296,2410,85,3954
3,Maryland,5788584,5843603,5889651,5931129,5967295,5994983,6016447,18462,73541,72732,72355,72756,73859,73321,10626,43675,43464,45739,44753,48446,50036,7836,29866,29268,26616,28003,25413,23285,6294,25655,25599,23876,26088,27472,26408,788,527,-8270,-9192,-16232,-24906,-26232,7082,26182,17329,14684,9856,2566,176
1,Massachusetts,6565524,6611923,6658008,6706786,6749911,6784240,6811779,18644,73191,72214,72162,71940,71945,72024,12290,54026,52418,54804,54741,56119,57563,6354,19165,19796,17358,17199,15826,14461,7581,34572,35460,35960,40091,41526,40898,3720,-4679,-8675,-3709,-11569,-22087,-25606,11301,29893,26785,32251,28522,19439,15292
2,Michigan,9877495,9876213,9887238,9898982,9915767,9917715,9928300,29105,113974,113077,113012,114527,113735,113437,22101,89856,89064,92325,91841,94319,94353,7004,24118,24013,20687,22686,19416,19084,3893,17731,19239,19958,22052,22969,22511,-18075,-43442,-32306,-29395,-26045,-38770,-27839,-14182,-25711,-13067,-9437,-3993,-15801,-5328
2,Minnesota,5311147,5348562,5380285,5418521,5453109,5482435,5519952,17499,68369,68052,68968,69886,69466,69190,9336,39985,39320,41327,40831,41577,41938,8163,28384,28732,27641,29055,27889,27252,3018,12369,12071,12004,13247,13853,13644,-3899,-3326,-8864,-1828,-6258,-12241,-1762,-881,9043,3207,10176,6989,1612,11882
3,Mississippi,2970322,2978162,2984945,2990482,2992400,2989390,2988726,9420,39747,39420,38492,38712,38304,37880,6646,29129,29018,30639,30582,30203,31006,2774,10618,10402,7853,8130,8101,6874,583,1834,2774,2088,2251,2543,2223,-1035,-5610,-6583,-4248,-8641,-13502,-9690,-452,-3776,-3809,-2160,-6390,-10959,-7467
2,Missouri,5996118,6010717,6025415,6042711,6060930,6076204,6093000,19012,76249,75424,75174,75788,74731,74423,13171,55985,55637,57589,57141,58255,58723,5841,20264,19787,17585,18647,16476,15700,1917,7519,8670,7590,8343,8880,8413,-281,-13328,-13498,-7392,-7785,-9602,-6250,1636,-5809,-4828,198,558,-722,2163
4,Montana,990641,997821,1005196,1014314,1022867,1032073,1042520,3067,12003,12036,12201,12387,12519,12431,2387,9128,8961,9448,9380,9228,9597,680,2875,3075,2753,3007,3291,2834,205,621,753,565,586,646,569,412,3493,3515,5678,4742,5035,6853,617,4114,4268,6243,5328,5681,7422
2,Nebraska,1830051,1842283,1855725,1868559,1881145,1893765,1907116,6515,25725,25756,26023,26463,26651,26553,3656,15621,15218,16171,15706,15168,15355,2859,10104,10538,9852,10757,11483,11198,814,3205,3857,3739,4111,4390,4187,131,-1162,-861,-571,-2204,-2920,-2144,945,2043,2996,3168,1907,1470,2043
4,Nevada,2703284,2718379,2752565,2786464,2833013,2883758,2940058,8891,35847,34712,35084,35226,36286,36462,4944,20200,20412,21267,21280,23053,23771,3947,15647,14300,13817,13946,13233,12691,1507,6432,6153,6220,7163,7727,7392,-2859,-6661,13649,13342,23610,28376,34575,-1352,-229,19802,19562,30773,36103,41967
1,New Hampshire,1316872,1318473,1321182,1322687,1328743,1330111,1334795,3270,12991,12370,12593,12220,12285,12274,2519,10737,10508,10874,11099,11489,11572,751,2254,1862,1719,1121,796,702,445,1802,1850,1927,2153,2235,2175,-773,-2206,-938,-2337,2854,-1570,2187,-328,-404,912,-410,5007,665,4362
1,New Jersey,8803729,8841243,8873211,8899162,8925001,8935421,8944469,26536,106685,104521,103464,103327,102362,102166,17100,71078,69031,72492,70478,72904,74762,9436,35607,35490,30972,32849,29458,27404,11197,46987,45202,43980,48842,50929,50087,-8811,-44374,-48342,-46367,-55009,-66665,-66791,2386,2613,-3140,-2387,-6167,-15736,-16704
4,New Mexico,2064756,2077756,2083784,2085193,2083024,2080328,2081015,6645,27799,27043,26738,26357,25650,25491,3809,16380,16467,16803,17138,17742,17799,2836,11419,10576,9935,9219,7908,7692,528,1736,2629,2183,2571,2899,2637,2093,84,-7116,-10541,-14067,-13668,-9748,2621,1820,-4487,-8358,-11496,-10769,-7111
1,New York,19402640,19519529,19602769,19673546,19718515,19747183,19745289,61424,243116,239920,239861,237034,237898,236507,35124,149759,146910,152607,148798,155230,160713,26300,93357,93010,87254,88236,82668,75794,23691,108528,107880,104541,115680,120650,118478,-24320,-83457,-116357,-110066,-159490,-161612,-191367,-629,25071,-8477,-5525,-43810,-40962,-72889
3,North Carolina,9558915,9650963,9746175,9841590,9934399,10035186,10146788,29913,121032,119577,119386,120197,120935,120778,18674,79944,79510,84326,83485,87724,89721,11239,41088,40067,35060,36712,33211,31057,5216,17202,22704,19204,20444,22822,20494,6752,31277,31764,37912,33991,41003,59584,11968,48479,54468,57116,54435,63825,80078
2,North Dakota,674526,685476,702087,724019,739904,756835,757952,2338,9210,9872,10253,10976,11615,11824,1494,6054,5935,6229,6205,5963,6172,844,3156,3937,4024,4771,5652,5652,290,1046,1721,1516,1592,1735,1575,840,6266,10759,16434,9072,9684,-6259,1130,7312,12480,17950,10664,11419,-4684
2,Ohio,11540983,11544824,11550839,11570022,11594408,11605090,11614373,34806,137930,137688,139092,139547,138418,138012,26463,110724,111390,114477,111816,115380,115938,8343,27206,26298,24615,27731,23038,22074,3734,15886,16817,17239,19253,20072,19591,-7690,-37837,-37289,-22250,-18487,-31871,-27558,-3956,-21951,-20472,-5011,766,-11799,-7967
3,Oklahoma,3759603,3786274,3817054,3852415,3877499,3907414,3923561,13145,52558,52340,53353,53072,53460,53175,8168,37683,36986,38656,38653,38834,39588,4977,14875,15354,14697,14419,14626,13587,1254,4735,6311,5974,6619,7195,6716,1671,6319,9011,14002,4761,7671,-3822,2925,11054,15322,19976,11380,14866,2894
4,Oregon,3838048,3868031,3899116,3925751,3968371,4024634,4093465,11879,45396,44907,45003,45467,45805,46198,7801,32512,32959,33425,33825,34678,35371,4078,12884,11948,11578,11642,11127,10827,1470,5533,5485,5726,6660,7109,6934,1543,11373,13736,9064,23560,35973,50038,3013,16906,19221,14790,30220,43082,56972
1,Pennsylvania,12712343,12744293,12771854,12781338,12790565,12791904,12784227,36120,142966,142119,141825,142227,141276,140897,30127,127777,125513,130755,126603,130530,133053,5993,15189,16606,11070,15624,10746,7844,5794,26854,29193,29791,33818,34910,34678,-1581,-7450,-17463,-31138,-35353,-45064,-45565,4213,19404,11730,-1347,-1535,-10154,-10887
1,Rhode Island,1053337,1052451,1052901,1053033,1054480,1055607,1056426,2875,11004,11008,10870,10729,10838,10770,2336,9764,9323,9638,9709,9818,9849,539,1240,1685,1232,1020,1020,921,964,3968,4007,3764,4147,4353,4203,-1126,-6032,-5255,-5058,-3167,-4143,-3784,-162,-2064,-1248,-1294,980,210,419
3,South Carolina,4635943,4672637,4720760,4767894,4828430,4894834,4961119,14181,57471,57525,56575,57293,57852,57926,9679,42036,42080,44670,44520,46646,47514,4502,15435,15445,11905,12773,11206,10412,1610,5117,6673,5382,5790,6631,5760,4354,14844,25814,28785,39272,46745,47084,5964,19961,32487,34167,45062,53376,52844
2,South Dakota,816325,824398,834441,844922,852561,857919,865454,3034,11786,11894,12050,12444,12156,12114,1922,7296,7431,7290,7172,7300,7296,1112,4490,4463,4760,5272,4856,4818,277,1273,1526,1497,1631,1727,1632,802,2070,4037,4289,454,-1084,941,1079,3343,5563,5786,2085,643,2573
3,Tennessee,6356671,6397634,6454306,6494821,6544663,6595056,6651194,19659,78614,80310,80284,80450,81691,81443,14305,60215,60645,63504,63553,64775,65454,5354,18399,19665,16780,16897,16916,15989,1927,7738,9017,8216,9280,9995,9440,3172,15065,27660,14017,23550,21788,30519,5099,22803,36677,22233,32830,31783,39959
3,Texas,25244310,25646389,26071655,26473525,26944751,27429639,27862596,92752,381765,378107,384432,394335,401870,404533,40996,168065,169134,178624,180764,187483,192814,51756,213700,208973,205808,213571,214387,211719,15453,69376,72347,76746,88279,94803,91839,29973,116100,141785,117522,164313,171537,125703,45426,185476,214132,194268,252592,266340,217542
4,Utah,2775326,2816124,2855782,2902663,2941836,2990632,3051217,13755,51921,50440,51854,50840,51206,51444,3708,14868,15270,16036,16101,16601,16447,10047,37053,35170,35818,34739,34605,34997,1058,4621,4768,4807,5432,5839,5634,321,-942,-167,6145,-825,8548,19778,1379,3679,4601,10952,4607,14387,25412
1,Vermont,625982,626730,626444,627140,626984,626088,624594,1656,6053,6093,5975,6111,6016,6035,1331,5431,5456,5559,5596,5585,5547,325,622,637,416,515,431,488,100,648,730,850,925,988,955,-155,-425,-1639,-609,-1327,-2252,-2865,-55,223,-909,241,-402,-1264,-1910
3,Virginia,8025773,8110035,8192048,8262692,8317372,8367587,8411808,25719,102336,102767,102511,102589,103167,102366,14675,60453,60220,63439,62649,64611,66558,11044,41883,42547,39072,39940,38556,35808,7889,28577,34467,30521,32861,35550,32545,5759,11078,5081,2228,-19073,-24144,-25343,13648,39655,39548,32749,13788,11406,7202
4,Washington,6743226,6822520,6895226,6968006,7054196,7160290,7288000,22233,86687,86718,87233,87382,89318,89982,11831,49848,49457,51337,51290,54245,55979,10402,36839,37261,35896,36092,35073,34003,4727,19165,22202,21915,24226,25950,24410,3617,23491,13205,14250,26026,42640,67571,8344,42656,35407,36165,50252,68590,91981
3,West Virginia,1854230,1854972,1856560,1853231,1848514,1841053,1831102,5103,20459,20683,20933,20582,20019,19799,5230,21911,21494,22257,21671,22302,22479,-127,-1452,-811,-1324,-1089,-2283,-2680,255,1020,1122,948,1039,1104,1076,1218,1060,1301,-2442,-4199,-5982,-7659,1473,2080,2423,-1494,-3160,-4878,-6583
2,Wisconsin,5690263,5709640,5726177,5742854,5758377,5767891,5778708,17558,67775,67647,66885,67077,66469,66079,11757,48488,47888,50051,49335,49773,49823,5801,19287,19759,16834,17742,16696,16256,1291,5683,6334,6664,7736,8155,7990,-3818,-6241,-9411,-7575,-8796,-15700,-12395,-2527,-558,-3077,-911,-1060,-7545,-4405
4,Wyoming,564513,567725,576765,582684,583642,586555,585501,1993,7474,7438,7508,7711,7688,7590,1291,4448,4378,4615,4536,4625,4838,702,3026,3060,2893,3175,3063,2752,114,374,591,468,516,594,524,-91,-241,5244,2544,-2773,-653,-4347,23,133,5835,3012,-2257,-59,-3823
X,Puerto Rico,3721525,3678732,3634488,3593077,3534874,3473181,3411307,9603,41243,40282,37871,35717,32965,30991,7138,30260,29742,29399,28831,29901,28108,2465,10983,10540,8472,6886,3064,2883,-7097,-53776,-54784,-49883,-65089,-64757,-64757,0,0,0,0,0,0,0,-7097,-53776,-54784,-49883,-65089,-64757,-64757
